profile; file_name; recorded_at; total_records
arbin; z_tb20_s2_24_bat02_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:29 GMT-0300 (Horário Padrão de Brasília); 21
arbin; z_tb20_s2_20_bat02_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:29 GMT-0300 (Horário Padrão de Brasília); 1626
arbin; z_tb20_s2_29_bat02_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:29 GMT-0300 (Horário Padrão de Brasília); 30
arbin; z_tb20_s1_13_bat02_channel_11_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 8651
arbin; z_tb20_s2_16_bat02_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 5975
arbin; z_tb20_s2_13_bat02_channel_21_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 7645
arbin; z_tb20_s2_17_bat02_b_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 10012
hh; 2023-01-30 ch 2 a.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 27
hh; 2023-01-30 ch 2 a_2.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 479
hh; 2023-01-30 ch c10_hh.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 9984
hh; 2023-02-01 dch_c10_hh.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 36230
hh; 2023-02-07_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 116823
hh; 2023-02-08_ciclagem_c10_hh.txt; Fri Oct 27 2023 10:56:19 GMT-0300 (Horário Padrão de Brasília); 166413
